Location,NewCases,NewDeaths
Worldwide,0,0
United States,60685,844
India,295158,2023
Brazil,69381,3321
France,44003,373
Russia,8044,372
United Kingdom,2524,33
Turkey,61028,346
Italy,12069,390
Spain,0,0
Germany,31397,327
Argentina,29145,316
Poland,9244,601
Colombia,16965,429
Mexico,4262,582
Iran,25492,395
Ukraine,9060,374
Peru,11301,417
Indonesia,5549,210
Czechia,3319,108
South Africa,853,130
Netherlands,6822,27
Canada,7570,51
Chile,4849,40
Romania,2931,237
Iraq,8208,34
Belgium,3430,52
Philippines,7361,93
Sweden,16692,37
Israel,139,4
Portugal,424,5
Pakistan,5499,147
Hungary,1645,199
Bangladesh,4559,91
Jordan,2699,64
Serbia,2965,32
Switzerland,2141,11
Austria,2026,37
Japan,4973,53
Lebanon,1608,36
Morocco,720,7
United Arab Emirates,1903,3
Saudi Arabia,1070,12
Bulgaria,2096,106
Malaysia,2341,3
Slovakia,642,72
Panama,275,3
Ecuador,591,41
Kazakhstan,2831,3
Belarus,888,10
Greece,3750,87
Croatia,2106,42
Azerbaijan,2197,34
Georgia,1792,10
Bolivia,1313,29
Tunisia,2169,93
Nepal,1667,11
Palestine,-3539,-61
Dominican Republic,317,4
Kuwait,1371,12
Paraguay,2603,86
Moldova,453,25
Ethiopia,1524,47
Ireland,386,11
Denmark,691,4
Lithuania,1151,15
Slovenia,720,5
Costa Rica,1130,5
Egypt,855,42
Guatemala,1651,38
Armenia,667,24
Honduras,736,13
Qatar,885,5
Bosnia and Herzegovina,722,87
Venezuela,1141,19
Oman,1263,19
Libya,625,11
Uruguay,2294,51
Bahrain,1039,5
Nigeria,120,0
Kenya,629,18
North Macedonia,766,31
Myanmar (Burma),0,0
Albania,148,6
Algeria,187,5
Estonia,535,4
South Korea,731,4
Latvia,688,15
Norway,314,0
Kosovo,641,25
Sri Lanka,367,0
Montenegro,199,3
Cuba,1183,7
Kyrgyzstan,225,2
Ghana,0,0
Zambia,100,0
Mainland China,0,0
Uzbekistan,243,1
Finland,214,2
Mozambique,81,2
El Salvador,294,4
Luxembourg,175,0
Cameroon,0,0
Singapore,14,0
Afghanistan,139,3
Cyprus,0,0
Namibia,102,4
Côte d'Ivoire,44,1
Thailand,1443,4
Botswana,0,0
Jamaica,118,11
Uganda,0,0
Senegal,15,4
Zimbabwe,16,1
Malawi,9,3
Madagascar,404,11
Sudan,61,6
Malta,13,2
Australia,19,0
Democratic Republic of the Congo,225,3
Maldives,162,1
Mongolia,1169,5
Angola,143,2
Rwanda,71,1
Gabon,0,0
Guinea,21,1
Syria,154,12
Cape Verde,154,1
Mayotte,60,1
French Polynesia,12,0
Réunion,0,0
Eswatini,0,0
Mauritania,14,0
French Guiana,0,0
Somalia,0,0
Tajikistan,0,0
Mali,101,3
Burkina Faso,19,1
Guadeloupe,0,0
Haiti,0,0
Andorra,69,0
Togo,57,1
Belize,10,0
Guyana,71,2
Curaçao,0,0
Hong Kong,8,0
Lesotho,0,0
Djibouti,47,4
South Sudan,5,0
Aruba,54,2
Republic of the Congo,0,0
Papua New Guinea,0,0
The Bahamas,0,0
Martinique,0,0
Suriname,106,1
Trinidad and Tobago,171,3
Benin,109,2
Equatorial Guinea,246,0
Cambodia,431,4
Nicaragua,57,1
Iceland,21,0
Central African Republic,142,4
Yemen,60,6
The Gambia,64,0
Northern Cyprus,0,0
Niger,9,1
San Marino,10,0
Seychelles,36,0
Chad,15,0
Saint Lucia,0,0
Gibraltar,0,0
Sierra Leone,3,0
Comoros,1,0
Barbados,9,0
Guinea-Bissau,1,0
Burundi,166,0
Eritrea,11,0
Jersey,0,0
Liechtenstein,13,0
Vietnam,9,0
New Zealand,2,0
Monaco,9,0
Turks and Caicos Islands,0,0
São Tomé and Príncipe,8,0
Bermuda,0,0
Sint Maarten,4,0
Liberia,0,0
Saint Vincent and the Grenadines,0,0
Saint Martin,0,0
Isle of Man,0,0
Timor-Leste,84,0
Antigua and Barbuda,0,0
Mauritius,0,0
Taiwan,2,0
Bhutan,5,0
Saint Barthélemy,0,0
Guernsey,0,0
Faroe Islands,1,0
Cayman Islands,6,0
Tanzania,0,0
Åland Islands,0,0
Brunei,2,0
Caribbean Netherlands,0,0
British Virgin Islands,0,0
Dominica,0,0
Grenada,0,0
New Caledonia,0,0
Fiji,5,0
Falkland Islands (Islas Malvinas),0,0
Laos,2,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Anguilla,0,0
Vatican City,0,0
Saint Pierre and Miquelon,0,0
Montserrat,0,0
Western Sahara,0,0
