Location,NewCases,NewDeaths
Worldwide,317715,5399
United States,32330,592
Brazil,84494,3780
India,53480,354
France,30702,381
Russia,8162,404
United Kingdom,4040,55
Italy,16055,529
Turkey,37303,155
Spain,4994,106
Germany,23681,250
Colombia,7952,176
Argentina,10154,125
Poland,20862,460
Mexico,5067,801
Iran,10250,91
Ukraine,10648,291
South Africa,756,78
Peru,0,0
Czechia,6896,186
Indonesia,4682,173
Netherlands,5828,34
Chile,5008,37
Canada,4505,30
Romania,6204,175
Belgium,3906,45
Iraq,5995,37
Israel,514,-4
Portugal,388,2
Sweden,16427,28
Philippines,9287,5
Pakistan,4757,78
Hungary,4609,274
Bangladesh,5042,45
Jordan,7751,96
Switzerland,1923,17
Serbia,9983,80
Austria,3001,33
Morocco,665,6
Japan,2141,33
Lebanon,2668,48
United Arab Emirates,2289,6
Saudi Arabia,556,7
Slovakia,1215,82
Panama,519,6
Malaysia,1133,5
Bulgaria,5176,155
Ecuador,2201,34
Belarus,995,10
Kazakhstan,1745,4
Georgia,673,8
Nepal,167,3
Bolivia,1072,28
Croatia,1487,17
Greece,4322,72
Azerbaijan,2146,25
Dominican Republic,202,10
Tunisia,1002,28
Palestine,2288,13
Ireland,366,14
Kuwait,1271,10
Denmark,1210,2
Moldova,917,46
Costa Rica,1586,26
Lithuania,851,6
Slovenia,1079,16
Paraguay,2266,48
Ethiopia,1976,16
Egypt,693,42
Guatemala,278,14
Armenia,750,21
Honduras,539,14
Qatar,720,3
Bosnia and Herzegovina,1867,92
Nigeria,121,7
Venezuela,1206,12
Libya,706,5
Oman,1173,7
Bahrain,905,2
Myanmar (Burma),19,0
Kenya,1530,12
North Macedonia,1271,33
Albania,304,11
Algeria,115,5
Estonia,1202,17
South Korea,506,2
Uruguay,2877,25
Latvia,526,10
Norway,1069,1
Sri Lanka,139,0
Montenegro,414,10
Ghana,0,0
Mainland China,0,0
Kosovo,752,14
Kyrgyzstan,113,1
Zambia,187,2
Uzbekistan,146,2
Finland,420,4
Cuba,1008,4
Mozambique,95,5
El Salvador,0,3
Luxembourg,182,2
Singapore,26,0
Afghanistan,62,4
Cameroon,0,0
Cyprus,439,2
Namibia,128,7
Côte d'Ivoire,120,3
Uganda,0,0
Botswana,0,0
Jamaica,334,1
Senegal,52,5
Zimbabwe,0,0
Malawi,20,2
Sudan,0,13
Australia,8,0
Malta,55,2
Thailand,48,0
Democratic Republic of the Congo,0,0
Madagascar,295,9
Maldives,167,0
Angola,50,2
Rwanda,155,1
Guinea,20,2
Mayotte,0,0
Gabon,0,0
Syria,137,7
French Polynesia,10,0
Mauritania,28,0
Eswatini,7,0
Cape Verde,89,3
French Guiana,0,0
Réunion,0,0
Tajikistan,0,0
Haiti,22,-1
Burkina Faso,15,1
Belize,0,0
Andorra,56,0
Guadeloupe,0,0
Hong Kong,7,0
Somalia,128,11
Lesotho,0,0
Togo,257,2
Guyana,10,2
South Sudan,0,0
Mali,77,0
Republic of the Congo,0,0
Aruba,80,3
The Bahamas,119,0
Suriname,5,0
Mongolia,377,0
Trinidad and Tobago,18,0
Curaçao,158,0
Djibouti,180,1
Martinique,0,0
Benin,0,0
Equatorial Guinea,0,0
Nicaragua,48,1
Iceland,11,0
Papua New Guinea,271,7
The Gambia,27,1
Central African Republic,73,3
Niger,14,1
San Marino,47,0
Chad,13,0
Gibraltar,1,0
Northern Cyprus,0,0
Yemen,132,19
Saint Lucia,26,1
Seychelles,0,0
Sierra Leone,0,0
Comoros,0,0
Guinea-Bissau,13,0
Barbados,8,1
Eritrea,28,0
Jersey,0,0
Burundi,0,0
Liechtenstein,0,0
Vietnam,0,0
New Zealand,2,0
Cambodia,62,0
Turks and Caicos Islands,2,0
Monaco,17,0
São Tomé and Príncipe,6,0
Sint Maarten,0,0
Liberia,0,0
Saint Vincent and the Grenadines,0,0
Saint Martin,0,0
Isle of Man,1,0
Bermuda,21,0
Antigua and Barbuda,0,0
Taiwan,1,0
Mauritius,38,0
Bhutan,0,0
Guernsey,0,0
Saint Barthélemy,0,0
Faroe Islands,0,0
Timor-Leste,51,0
Tanzania,0,0
Cayman Islands,0,0
Åland Islands,0,0
Brunei,3,0
Caribbean Netherlands,0,0
Dominica,0,0
Grenada,0,0
British Virgin Islands,0,0
New Caledonia,0,0
Fiji,0,0
Falkland Islands (Islas Malvinas),0,0
Laos,0,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Vatican City,0,0
Anguilla,3,0
Saint Pierre and Miquelon,0,0
Montserrat,0,0
Western Sahara,0,0
Turkmenistan,0,0
