Location,NewCases,NewDeaths
Worldwide,863496,17189
United States,64440,994
Brazil,86979,4195
India,115736,630
France,8045,429
Russia,8206,382
United Kingdom,2379,20
Italy,7763,421
Turkey,49584,211
Spain,6623,128
Germany,7593,109
Colombia,11827,231
Poland,8246,60
Argentina,20870,163
Mexico,4804,586
Iran,17430,174
Ukraine,13398,437
Peru,0,0
Czechia,1425,112
South Africa,437,37
Indonesia,4549,162
Netherlands,5541,20
Chile,5168,57
Canada,7148,32
Romania,5231,196
Belgium,1709,45
Iraq,7300,33
Sweden,21802,35
Israel,317,9
Portugal,874,2
Philippines,9362,382
Pakistan,4004,102
Hungary,1890,170
Bangladesh,7213,66
Jordan,6005,100
Serbia,4398,40
Switzerland,4932,26
Austria,1935,35
Morocco,696,8
Japan,2615,22
Lebanon,2296,36
United Arab Emirates,1988,4
Saudi Arabia,792,7
Slovakia,333,0
Panama,357,8
Bulgaria,0,0
Malaysia,1300,5
Ecuador,925,17
Belarus,968,10
Kazakhstan,2080,0
Georgia,897,10
Greece,4293,79
Croatia,735,30
Nepal,260,0
Bolivia,1498,22
Azerbaijan,2035,32
Tunisia,1866,46
Palestine,2672,18
Dominican Republic,168,4
Kuwait,1403,8
Ireland,441,9
Moldova,773,46
Denmark,520,2
Paraguay,2073,59
Lithuania,688,8
Slovenia,273,7
Costa Rica,3082,43
Ethiopia,2054,25
Egypt,778,43
Armenia,760,13
Guatemala,1340,9
Honduras,1277,5
Qatar,927,6
Bosnia and Herzegovina,1093,99
Venezuela,1526,15
Oman,1206,6
Libya,876,8
Nigeria,58,0
Bahrain,1020,4
Myanmar (Burma),19,0
Kenya,394,14
North Macedonia,1259,45
Albania,141,9
Uruguay,3105,45
Algeria,140,4
Estonia,899,14
South Korea,668,4
Latvia,309,3
Norway,900,1
Kosovo,3251,50
Sri Lanka,95,5
Montenegro,290,9
Ghana,46,0
Mainland China,0,0
Kyrgyzstan,124,2
Zambia,62,2
Uzbekistan,133,1
Cuba,1030,4
Finland,331,14
Mozambique,65,3
El Salvador,0,0
Luxembourg,520,11
Singapore,24,0
Cameroon,0,0
Afghanistan,62,4
Cyprus,559,2
Namibia,122,4
Côte d'Ivoire,13,0
Botswana,0,0
Jamaica,315,4
Uganda,0,0
Senegal,34,2
Zimbabwe,32,6
Malawi,12,0
Sudan,0,0
Thailand,250,0
Australia,14,0
Malta,64,0
Democratic Republic of the Congo,0,0
Madagascar,165,3
Maldives,145,0
Angola,168,4
Rwanda,178,3
Guinea,4,0
Gabon,0,0
Syria,115,9
Mayotte,0,0
French Polynesia,7,0
Cape Verde,84,0
Mauritania,16,1
Eswatini,4,0
French Guiana,0,-3
Réunion,0,0
Tajikistan,0,0
Burkina Faso,20,0
Haiti,15,0
Belize,21,1
Andorra,42,0
Somalia,70,8
Guadeloupe,0,0
Mongolia,0,0
Hong Kong,7,0
Togo,61,1
Mali,138,3
Lesotho,0,0
Guyana,31,1
South Sudan,5,0
Curaçao,119,4
Aruba,79,1
Republic of the Congo,0,0
The Bahamas,99,1
Suriname,10,1
Djibouti,415,9
Trinidad and Tobago,22,0
Martinique,0,0
Papua New Guinea,0,0
Benin,0,0
Equatorial Guinea,0,0
Nicaragua,50,1
Iceland,16,0
The Gambia,59,0
Central African Republic,0,0
Niger,7,0
Yemen,94,21
San Marino,89,1
Chad,8,0
Seychelles,0,0
Saint Lucia,24,2
Gibraltar,0,0
Northern Cyprus,0,0
Sierra Leone,1,0
Comoros,13,0
Barbados,12,0
Guinea-Bissau,0,0
Eritrea,23,0
Jersey,0,0
Burundi,6,0
Cambodia,163,1
Liechtenstein,0,0
Vietnam,11,0
New Zealand,7,0
Monaco,11,0
Turks and Caicos Islands,0,0
São Tomé and Príncipe,4,0
Sint Maarten,13,0
Liberia,0,0
Saint Vincent and the Grenadines,1,0
Saint Martin,0,0
Isle of Man,1,0
Bermuda,0,0
Antigua and Barbuda,0,0
Mauritius,9,0
Taiwan,2,0
Bhutan,5,0
Guernsey,0,0
Timor-Leste,13,1
Saint Barthélemy,0,0
Faroe Islands,0,0
Cayman Islands,11,0
Tanzania,0,0
Åland Islands,10,0
Brunei,0,0
Caribbean Netherlands,0,0
British Virgin Islands,12,0
Dominica,0,0
Grenada,0,0
New Caledonia,0,0
Fiji,0,0
Falkland Islands (Islas Malvinas),0,0
Laos,0,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Vatican City,0,0
Anguilla,0,0
Saint Pierre and Miquelon,0,0
Montserrat,0,0
Western Sahara,0,0
Turkmenistan,0,0
