Location,NewCases,NewDeaths
Worldwide,600007,10612
United States,66392,1217
Brazil,90303,2648
India,35871,172
Russia,8910,420
United Kingdom,5758,141
France,0,0
Italy,23040,431
Spain,6092,228
Turkey,18912,73
Germany,7705,91
Colombia,4554,130
Argentina,8304,195
Mexico,6455,789
Poland,25053,454
Iran,7802,65
Ukraine,11921,296
South Africa,1531,74
Indonesia,6825,162
Peru,16624,346
Czechia,14029,245
Netherlands,5924,46
Canada,3965,36
Chile,3430,27
Romania,6186,89
Israel,1475,9
Belgium,5116,28
Portugal,673,15
Iraq,5663,33
Sweden,6781,56
Philippines,4378,18
Pakistan,3495,61
Switzerland,1858,16
Bangladesh,1865,11
Hungary,3456,195
Serbia,5446,32
Jordan,9535,56
Austria,3335,31
Morocco,466,8
Japan,1545,36
United Arab Emirates,2051,8
Lebanon,3544,62
Saudi Arabia,393,7
Panama,440,9
Slovakia,2892,69
Malaysia,1219,2
Ecuador,2744,41
Belarus,1124,9
Bulgaria,4201,136
Kazakhstan,1243,3
Georgia,382,7
Nepal,94,0
Bolivia,1068,18
Croatia,1445,12
Dominican Republic,570,11
Tunisia,766,34
Azerbaijan,840,9
Ireland,552,14
Greece,3458,56
Denmark,787,1
Palestine,4270,44
Kuwait,1504,8
Costa Rica,0,0
Moldova,1916,34
Lithuania,599,11
Slovenia,1076,7
Egypt,645,47
Paraguay,2540,34
Guatemala,949,20
Honduras,756,17
Armenia,854,5
Ethiopia,1704,19
Qatar,489,2
Nigeria,187,9
Oman,548,3
Libya,1054,16
Bosnia and Herzegovina,1726,35
Venezuela,549,8
Myanmar (Burma),28,0
Bahrain,768,2
Albania,446,15
Kenya,1279,12
Algeria,148,3
North Macedonia,1293,24
South Korea,445,2
Latvia,818,12
Mainland China,0,0
Estonia,1783,6
Sri Lanka,470,5
Ghana,193,7
Kyrgyzstan,98,0
Zambia,262,3
Montenegro,553,18
Norway,1064,7
Uzbekistan,115,0
Kosovo,0,0
Uruguay,1368,15
Finland,842,3
Mozambique,268,1
Cuba,727,4
El Salvador,0,4
Singapore,9,0
Luxembourg,297,7
Afghanistan,21,0
Namibia,80,3
Cyprus,382,0
Cameroon,0,0
Uganda,14,0
Côte d'Ivoire,162,0
Senegal,192,9
Zimbabwe,17,1
Botswana,0,0
Malawi,76,0
Jamaica,821,13
Sudan,0,0
Australia,13,0
Thailand,92,1
Malta,211,4
Democratic Republic of the Congo,0,0
Maldives,142,0
Madagascar,138,2
Angola,43,0
Rwanda,68,1
Mayotte,0,0
French Polynesia,5,0
Guinea,303,2
Mauritania,34,1
Gabon,352,4
Eswatini,14,0
Syria,120,10
French Guiana,0,0
Cape Verde,96,1
Réunion,830,16
Tajikistan,0,0
Haiti,5,0
Burkina Faso,21,0
Belize,7,0
Andorra,41,0
Hong Kong,11,0
Guadeloupe,0,0
Lesotho,0,0
South Sudan,81,0
Somalia,163,7
Republic of the Congo,0,0
Guyana,84,1
Mali,48,1
Suriname,8,0
The Bahamas,24,0
Aruba,69,1
Togo,150,1
Trinidad and Tobago,17,0
Martinique,0,0
Equatorial Guinea,0,0
Nicaragua,0,0
Benin,0,0
Djibouti,49,0
Iceland,2,0
Curaçao,142,0
The Gambia,66,5
Central African Republic,39,0
Niger,34,2
Mongolia,158,0
Chad,13,1
Gibraltar,0,0
San Marino,45,0
Saint Lucia,14,0
Sierra Leone,3,0
Northern Cyprus,0,0
Comoros,5,0
Guinea-Bissau,19,2
Seychelles,132,0
Barbados,13,0
Jersey,0,0
Eritrea,16,0
Yemen,68,6
Liechtenstein,1,0
Vietnam,7,0
Burundi,0,0
New Zealand,0,0
Papua New Guinea,0,0
Turks and Caicos Islands,3,0
Monaco,6,0
São Tomé and Príncipe,22,1
Sint Maarten,5,0
Liberia,12,0
Saint Vincent and the Grenadines,0,0
Saint Martin,0,0
Cambodia,36,0
Isle of Man,32,0
Antigua and Barbuda,0,0
Taiwan,0,0
Bhutan,0,0
Guernsey,0,0
Mauritius,4,0
Bermuda,0,0
Saint Barthélemy,0,0
Faroe Islands,0,0
Tanzania,0,0
Cayman Islands,0,0
Åland Islands,0,0
Timor-Leste,8,0
Brunei,1,0
Caribbean Netherlands,0,0
Dominica,0,0
Grenada,0,0
British Virgin Islands,0,0
New Caledonia,0,0
Fiji,0,0
Falkland Islands (Islas Malvinas),0,0
Laos,1,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Vatican City,0,0
Saint Pierre and Miquelon,0,0
Anguilla,0,0
Montserrat,0,0
Western Sahara,0,0
Turkmenistan,0,0
