Location,NewCases,NewDeaths
Worldwide,408189,7937
United States,64168,814
Brazil,49293,1383
India,40715,199
Russia,9195,355
United Kingdom,5342,17
France,81103,657
Italy,13805,386
Spain,16471,633
Turkey,22216,117
Germany,8261,253
Colombia,5048,120
Argentina,6401,126
Mexico,1388,203
Poland,14579,65
Iran,7357,80
Ukraine,7982,163
South Africa,599,85
Czechia,-2214,143
Peru,0,0
Indonesia,5744,161
Netherlands,6261,15
Canada,4693,36
Chile,6155,80
Romania,3743,60
Belgium,2232,21
Israel,992,17
Portugal,248,16
Iraq,4655,29
Sweden,0,0
Philippines,7998,4
Pakistan,3270,72
Switzerland,3643,26
Hungary,9046,189
Bangladesh,2809,30
Serbia,4769,32
Jordan,9269,109
Austria,2412,15
Morocco,125,2
Japan,786,36
United Arab Emirates,1871,7
Lebanon,1446,51
Saudi Arabia,404,4
Panama,222,8
Slovakia,401,60
Malaysia,1116,5
Ecuador,253,27
Belarus,983,9
Bulgaria,4467,169
Kazakhstan,1111,2
Georgia,170,10
Nepal,150,3
Bolivia,573,14
Croatia,150,13
Dominican Republic,313,3
Azerbaijan,670,15
Tunisia,217,23
Greece,1705,69
Ireland,520,1
Palestine,2068,20
Denmark,1272,2
Kuwait,1330,7
Moldova,1060,31
Costa Rica,0,0
Lithuania,329,10
Slovenia,291,4
Paraguay,1990,39
Egypt,643,39
Ethiopia,1537,15
Guatemala,208,10
Armenia,506,12
Honduras,871,26
Qatar,519,1
Nigeria,131,0
Bosnia and Herzegovina,3290,165
Libya,905,7
Venezuela,771,9
Oman,728,7
Myanmar (Burma),34,0
Bahrain,759,2
Kenya,1130,12
Albania,344,8
North Macedonia,450,30
Algeria,98,4
South Korea,346,7
Latvia,177,2
Estonia,993,10
Sri Lanka,314,5
Mainland China,0,0
Ghana,0,0
Norway,1096,1
Montenegro,426,9
Kyrgyzstan,73,0
Zambia,86,3
Uruguay,2693,19
Uzbekistan,107,0
Kosovo,0,0
Finland,430,3
Cuba,718,3
Mozambique,94,1
El Salvador,0,4
Singapore,12,0
Luxembourg,542,5
Afghanistan,50,1
Namibia,176,2
Cyprus,410,2
Uganda,16,0
Cameroon,0,0
Côte d'Ivoire,291,2
Senegal,87,3
Botswana,2066,27
Zimbabwe,19,2
Jamaica,558,3
Malawi,33,2
Sudan,158,0
Australia,5,0
Malta,191,1
Thailand,282,1
Democratic Republic of the Congo,0,0
Maldives,149,0
Madagascar,132,4
Angola,24,3
Rwanda,68,2
Mayotte,0,0
Guinea,68,2
French Polynesia,11,0
Gabon,367,2
Mauritania,29,1
Syria,172,12
Eswatini,4,0
French Guiana,0,0
Cape Verde,26,1
Réunion,0,0
Tajikistan,0,0
Haiti,0,0
Burkina Faso,24,0
Belize,7,0
Andorra,28,0
Hong Kong,18,0
Guadeloupe,0,0
Lesotho,3,0
Somalia,129,12
South Sudan,11,0
Guyana,19,1
Republic of the Congo,0,0
Mali,50,3
Suriname,1,1
Togo,42,0
The Bahamas,123,2
Aruba,29,0
Trinidad and Tobago,6,0
Martinique,0,0
Benin,0,0
Equatorial Guinea,44,1
Djibouti,70,0
Nicaragua,0,0
Iceland,22,0
Curaçao,44,0
Mongolia,206,0
The Gambia,0,0
Central African Republic,0,0
Niger,10,0
Chad,7,0
San Marino,32,0
Gibraltar,0,0
Saint Lucia,11,0
Northern Cyprus,217,0
Sierra Leone,0,0
Seychelles,28,0
Comoros,0,0
Guinea-Bissau,0,0
Barbados,8,1
Yemen,98,20
Papua New Guinea,274,0
Jersey,0,0
Eritrea,0,0
Liechtenstein,4,0
Burundi,5,0
Vietnam,3,0
New Zealand,0,0
Turks and Caicos Islands,0,1
Monaco,9,0
São Tomé and Príncipe,12,0
Sint Maarten,3,0
Liberia,0,0
Cambodia,35,1
Saint Vincent and the Grenadines,0,0
Saint Martin,0,0
Isle of Man,17,0
Antigua and Barbuda,39,0
Taiwan,0,0
Bhutan,0,0
Bermuda,41,0
Guernsey,0,0
Mauritius,4,0
Saint Barthélemy,0,0
Faroe Islands,0,0
Tanzania,0,0
Cayman Islands,7,0
Timor-Leste,9,0
Åland Islands,0,0
Brunei,0,0
Caribbean Netherlands,0,0
Dominica,0,0
Grenada,0,0
British Virgin Islands,0,0
New Caledonia,0,0
Fiji,0,0
Falkland Islands (Islas Malvinas),0,0
Laos,0,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Vatican City,0,0
Saint Pierre and Miquelon,0,0
Anguilla,0,0
Montserrat,0,0
Western Sahara,0,0
Turkmenistan,0,0
